Initial Velocity,Extension Lookup Table
103.0,"[[0.0, 456.20544333494854], [0.1, 443.88414607834227], [0.2, 457.202561123617], [0.3, 432.6787813985404], [0.4, 446.2437816883912], [0.5, 439.12270347844594], [0.6, 436.72850272455963], [0.7, 435.5432157153771], [0.8, 419.0756138988703], [0.9, 411.9235393343451], [1.0, 419.39685547112674]]"
102.0,"[[0.0, 459.65551315031195], [0.1, 454.58267975164625], [0.2, 442.3069339832841], [0.3, 443.4392803103026], [0.4, 438.13707843585314], [0.5, 434.4058910903004], [0.6, 428.54749907216757], [0.7, 425.82042554397736], [0.8, 423.6709268118632], [0.9, 416.0476181336545], [1.0, 413.8328468510965]]"
101.0,"[[0.0, 451.0966098396266], [0.1, 445.4789638954695], [0.2, 437.9160428343604], [0.3, 436.7471157078992], [0.4, 430.3397281057162], [0.5, 427.054196468487], [0.6, 424.30223850947084], [0.7, 418.2489437787277], [0.8, 415.184991773967], [0.9, 410.10245789459395], [1.0, 407.30498008368664]]"
100.0,"[[0.0, 443.72115284364224], [0.1, 439.59988772676445], [0.2, 433.2731138145512], [0.3, 428.86391173421134], [0.4, 425.43383303665894], [0.5, 420.91178152050054], [0.6, 418.64123722768664], [0.7, 412.88830621057855], [0.8, 407.129602967767], [0.9, 404.3923763402174], [1.0, 400.49015961326944]]"
99.0,"[[0.0, 437.1861444979786], [0.1, 429.171246238821], [0.2, 427.05699875341054], [0.3, 424.28620744201794], [0.4, 417.9051556847933], [0.5, 413.74312307294883], [0.6, 408.8050860998501], [0.7, 404.60186545277213], [0.8, 399.059360509351], [0.9, 398.9091878360383], [1.0, 393.1315296199938]]"
98.0,"[[0.0, 429.4081701577776], [0.1, 422.887430251414], [0.2, 418.05957976406773], [0.3, 415.7541128982167], [0.4, 408.7173462508582], [0.5, 405.4905005366279], [0.6, 406.1170752495157], [0.7, 398.73499394193414], [0.8, 393.80036758413604], [0.9, 392.66753684632357], [1.0, 387.7773099051693]]"
97.0,"[[0.0, 423.61655651402367], [0.1, 415.7924923167893], [0.2, 408.79528935042663], [0.3, 407.7446335653613], [0.4, 404.7239424254209], [0.5, 399.2263274831561], [0.6, 396.24764537958924], [0.7, 392.9285944914033], [0.8, 389.01959118633204], [0.9, 382.28139374868806], [1.0, 381.27176789903007]]"
96.0,"[[0.0, 412.96686163289155], [0.1, 406.5616860194789], [0.2, 402.6010391769292], [0.3, 401.5692858862753], [0.4, 395.6403752459006], [0.5, 394.90950589767976], [0.6, 388.9174271381652], [0.7, 385.71795751722186], [0.8, 381.55249800488036], [0.9, 378.39015678842975], [1.0, 377.81120096014683]]"
95.0,"[[0.0, 404.7789455865028], [0.1, 401.372322315003], [0.2, 397.00846250129365], [0.3, 393.5605642476113], [0.4, 389.49777645630365], [0.5, 385.75881240089876], [0.6, 382.4046846790817], [0.7, 378.9000857601008], [0.8, 372.9838676067139], [0.9, 371.3654904699828], [1.0, 369.33902966248445]]"
94.0,"[[0.0, 398.1788793788594], [0.1, 395.6825202305747], [0.2, 389.92955249587004], [0.3, 387.50125464006396], [0.4, 382.8806735368331], [0.5, 379.2721743886509], [0.6, 374.3950285821526], [0.7, 372.9202873749362], [0.8, 369.95825119802794], [0.9, 367.0079104689974], [1.0, 363.14557130812415]]"
