velocity,airbrakes_0.0,airbrakes_0.1,airbrakes_0.2,airbrakes_0.3,airbrakes_0.4,airbrakes_0.5,airbrakes_0.6,airbrakes_0.7,airbrakes_0.8,airbrakes_0.9,airbrakes_1.0
0,0.010569176073659037,-0.002172161160046926,-0.007382014767244982,-0.0001991136600736354,0.010501325387281213,0.005292624196499673,0.0017775829082893324,-0.009265977046879925,0.002053054247539876,0.001498915579190907,0.006101556747694303
1,0.07537444709475949,0.04334087890049432,0.03038443470444463,0.04827382596084817,0.07503671161515513,0.06202150497443881,0.053304009419946397,0.025611624072780614,0.05399838613874408,0.05258041555805448,0.06406598260957708
2,0.24337222452106744,0.18496253012028774,0.16199040903001105,0.19398426479045838,0.2420795428168958,0.2188162832648004,0.2032682366017866,0.2054900224697652,0.20456204790036736,0.20191726619441397,0.22255113852918385
3,0.509296327938273,0.42332717887086346,0.3907729765396084,0.4365760417375668,0.5060380278034131,0.47260750166879006,0.45059487838159384,0.5266800857156682,0.45239601463242707,0.4484338916964816,0.47811413241998935
4,0.8731738316619158,0.7585541130028446,0.8186320590995138,0.7762314998901161,0.8670621967444276,0.823467478758289,0.7953999022442417,0.8967950893959937,0.7976027713227154,0.7922886598549326,0.8309076677659277
5,1.3350351834947674,1.1908424246252025,1.3885288247348626,1.2131734652176647,1.325211439400789,1.2715791080264012,1.2377908263210884,1.3641402118055908,1.240325666221736,1.2336259956308027,1.2811479748646093
6,1.8949160913307992,1.7203650038131855,1.9582165162130991,1.747588249059163,1.8805477576792669,1.817128037083421,1.7779188435274023,1.92892403338152,1.780732240815155,1.7725939094507908,1.8290193554612415
7,2.552857857486856,2.5244135410939634,2.625608150868743,2.3795591485474006,2.533285624489338,2.4603309243194644,2.415919260707824,2.5914298843460415,2.419019783849933,2.409359027385676,2.4747272283069037
8,3.3089088316099833,3.47087639626983,3.3908612871224477,3.109241785833717,3.283658241449416,3.2013449546871584,3.151910742514872,3.3518721970315255,3.155330462194911,3.1440998565124687,3.218435004570665
9,4.163124219311953,4.342173658829665,4.254099336328522,3.9368166927885113,4.13185833165528,4.040296606701929,3.986004320623749,4.210416732933993,3.9897875226213273,3.976993521474867,4.060269944865809
10,5.115564543511709,5.31146884564339,5.215449393258211,5.114220936827034,5.078052841475483,4.97728115818245,4.918330011805324,5.167243872258723,4.922555115577154,4.908223218571038,5.000371691339296
11,6.166295598438012,6.378905402663463,6.275026711737894,6.434746157517679,6.122387558334424,6.012441025836949,5.94899832747376,6.222526979684915,5.953821215593166,5.937971089661005,6.038936615265413
12,7.315390033171923,7.54465457490619,7.432928111393323,7.605828228293717,7.265019375377847,7.1459313578195065,7.078125422489961,7.376436476024992,7.083770631120558,7.066420433184987,7.176169238756131
13,8.562926864532415,8.808854044701093,8.689267203273289,8.875351934859452,8.506144015953055,8.377901050303592,8.305849530607134,8.629178869125667,8.312567518823585,8.293763087227319,8.412256699317538
14,9.908991243295532,10.171628710843152,10.04416562782012,10.24344079126081,9.845960081340138,9.708488424759594,9.632330770521207,9.980959913022332,9.6403700206439,9.620216205394513,9.747400770391891
15,11.353673917585752,11.63306649598627,11.497789827593124,11.7102131826029,11.284647607817533,11.137859530539401,11.434705420722102,11.431943683999634,11.067334438835871,11.045985161326598,11.181817561065685
16,12.897072867632232,13.193258115857077,13.0502599367573,13.275810999103726,12.822349304701788,12.666199661288942,13.381628962794139,12.982283378526745,12.593616787430221,12.973388986637985,12.715758671301245
17,14.53929349258209,14.85230324753394,14.701671451254924,14.940402140375852,14.459235478200128,14.293720070298946,15.055031779323144,14.632141125521287,14.219384288777064,15.046319667675135,14.349467770906045
18,16.280445316216287,16.610285853898176,16.45217321048267,16.70413752132589,16.195504662973747,16.020617561026313,16.82798252489721,16.381710603000897,15.944856030203653,16.36508076985956,16.083175705188722
19,18.120643049963917,18.467321519109817,18.30193511339445,18.567188943627002,18.031347292350745,17.8471099675196,18.70071265801886,18.231216849533155,17.770250299479642,17.74648164737397,17.917120426242803
20,20.060008800612025,20.423531462937717,20.251170479273412,20.52974615671411,19.966902834739244,19.77341102390716,20.67342296529472,20.180863642130532,19.695781510464087,19.67202441185242,19.851569303516214
21,22.098668274577847,22.47906105399636,22.300064126124198,22.591980878017296,22.002333080180563,21.799713539157267,22.74633851464614,22.23085244323022,21.72165450809402,21.698147516807182,21.886773356199086
22,24.23675637887652,24.634057528243318,24.448789801940734,24.754082105059865,24.137803679789954,23.92622342307135,24.919716409040745,24.381391067059837,23.848095583922287,23.82506008424636,24.022985513032353
23,26.474410869846906,26.88865496592115,26.69750963173226,27.016224882209087,26.373497111118468,26.15315797741522,27.193874301227652,26.632707243910318,26.075349796705495,26.052986047833343,26.26046515544087
24,28.81177612837581,29.243015966626615,29.046391006852048,29.37860778721347,28.70962956804442,28.480771223588476,28.962625125094178,28.985016324646892,28.40369500454014,28.3822008264396,28.599509342511425
25,31.249007333876307,31.69730867075367,31.495622380611053,31.841463872641043,31.146453118733973,30.909367627603103,30.79463094804737,31.438582308591492,30.833425485338893,30.813000469726234,31.04044219342731
26,33.78626490426939,34.25173085151289,34.045370709860435,34.405058212744166,33.684203288776416,33.43922788183772,33.32180864037832,33.99367459765429,33.36486278471858,33.345695417199494,33.58357652980658
27,36.423714927881974,36.9064999488661,36.69577707337044,37.06966531316891,36.3231025663074,36.07060647405001,35.950594375384185,36.6505640156889,35.99831988527714,35.980613372766186,36.22923967699839
28,39.16152863185977,39.66185384031519,39.447026716367645,39.83561771354505,39.06335285195064,38.8037443360343,38.68125540154517,39.409543135268166,38.73411620722817,38.71810229659255,38.97779902585492
29,41.99988444510501,42.51801930346198,42.29933662437969,42.70327408951624,41.90518764652967,41.638935804311075,41.51408634483391,42.27094546644821,42.16826435708637,41.46151195444756,41.829652377132334
30,44.93896523950991,45.4752593049717,45.25293464386306,45.67292876713475,44.84889198533722,44.576469686730775,44.449407657496494,45.3743164273669,44.13545195198826,44.303084286822724,44.78521377147578
31,47.97896123774376,48.53385759691747,48.308029277608455,48.74480905468238,47.89473357113491,47.61658845454173,47.48755542611616,47.32916050483764,47.68977657537471,47.34371595076681,47.844920206631116
32,51.12007201996414,51.69413234080878,51.46483936963568,51.11270652655662,51.04302561556824,51.04284887000284,50.522090856469305,50.83870558566639,50.8431871328159,50.48856541183932,51.00922320225814
33,54.36249795107136,54.95639502617536,54.723640467069,53.54469617148192,54.29411422382435,53.3788023828079,53.65495172916221,54.09292773923778,54.1009597443697,53.7380923439205,54.27860139652557
34,57.70644359985732,58.32090918670832,58.08473530568136,56.872995558098125,57.53454388423427,57.49799398904318,56.996645245483506,57.45149597902028,57.463523981917774,57.09275503259269,56.796573854885594
35,61.152123219992404,61.78790404113471,61.42573430908311,60.59631036959562,60.87331990945273,60.95523346898054,60.44247177982663,60.91490087293397,60.93132977526605,60.55301247755685,59.380746889552825
36,64.69975772471844,65.35755504598598,64.42847318243845,64.2902588055884,64.42800515725045,64.5164791665253,63.992808157252284,64.48362171768349,63.5981771166189,64.11937707004844,62.91492778707152
37,68.34956804979328,69.00002307735403,67.82626899318791,67.94120407087419,68.08685055506385,68.18214582388671,67.64808391328029,67.2262381825924,66.33123020067299,66.86075180118826,66.55589399100623
